domain,nameserver,ip,request,response,tc
academyinternationalrelations.nl,ns3.rijksoverheidnl.org.,145.100.177.67,103,155,
academyinternationalrelations.nl,ns1.rijksoverheidnl.nl.,178.22.85.27,103,155,
acceleratethechange.nl,ns2.dictu.nl.,145.69.216.1,93,177,
acceleratethechange.nl,ns1.dictu.nl.,145.12.216.1,93,177,
accept.inclusievedienstverlening.gebruikercentraal.nl,plesk-accept.nmp.ictu.nl.,87.236.103.197,124,152,
acc.prikkenzonderafspraak.rijksoverheid.nl,t4.standaardplatform.nl.,,113,,
acm.nl,ns1.dictu.nl.,145.12.216.1,77,375,
acm.nl,ns2.dictu.nl.,145.69.216.1,77,375,
acoi.nl,ns2.rijksoverheidnl.eu.,94.228.142.136,78,282,
acoi.nl,ns0.rijksoverheidnl.com.,185.136.96.82,78,398,
acoi.nl,ns1.rijksoverheidnl.nl.,178.22.85.27,78,282,
acoi.nl,ns3.rijksoverheidnl.org.,145.100.177.67,78,282,
actal.nl,ns4.firstfind.nl.,5.157.87.222,79,173,
actal.nl,ns5.firstfind.net.,178.128.248.2,79,173,
actal.nl,ns3.firstfind.nl.,5.157.86.222,79,173,
actieleernetwerk.nl,ns2.danego.net.,84.241.130.131,90,297,
actieleernetwerk.nl,ns1.danego.net.,178.18.139.164,90,297,
actieleernetwerk.nl,ns3.danego.eu.,195.246.117.117,90,297,
actiemonitoringce.nl,ns2.w-e-r-k.nl.,31.200.209.176,91,137,
actiemonitoringce.nl,ns2.ssc-campus.nl.,131.224.2.136,91,344,
actiemonitoringce.nl,ns1.ssc-campus.nl.,131.224.2.135,91,344,
actiemonitoringce.nl,ns1.w-e-r-k.nl.,5.172.40.100,91,137,
adaguc.knmi.nl,adaguc-website.pub.knmi.cloud.,,85,,
adr.trainingscatalogus.nl,",,",,96,,
adr.trainingscatalogus.nl,connection,,96,,
adr.trainingscatalogus.nl,timed,,96,,
adr.trainingscatalogus.nl,"out,",,96,,
adr.trainingscatalogus.nl,no,,96,,
adr.trainingscatalogus.nl,servers,,96,,
adr.trainingscatalogus.nl,could,,96,,
adr.trainingscatalogus.nl,be,,96,,
adr.trainingscatalogus.nl,reached,,96,,
adviescollegeicttoetsing.nl,ns2.rijksoverheidnl.eu.,94.228.142.136,98,276,
adviescollegeicttoetsing.nl,ns1.rijksoverheidnl.nl.,178.22.85.27,98,276,
adviescollegeicttoetsing.nl,ns3.rijksoverheidnl.org.,145.100.177.67,98,276,
adviescollegeicttoetsing.nl,ns0.rijksoverheidnl.com.,185.136.96.82,98,392,
adviescollegeveiligheidgroningen.nl,ns1.dictu.nl.,145.12.216.1,106,508,
adviescollegeveiligheidgroningen.nl,ns2.dictu.nl.,145.69.216.1,106,508,
adviescommissiedbe.nl,ns2.dictu.nl.,145.69.216.1,92,202,
adviescommissiedbe.nl,ns1.dictu.nl.,145.12.216.1,92,202,
adviescommissievolkenrecht.nl,ns1.rijksoverheidnl.nl.,178.22.85.27,100,152,
adviescommissievolkenrecht.nl,ns0.rijksoverheidnl.com.,185.136.96.82,100,268,
adviescommissievolkenrecht.nl,ns2.rijksoverheidnl.eu.,94.228.142.136,100,152,
adviescommissievolkenrecht.nl,ns3.rijksoverheidnl.org.,145.100.177.67,100,152,
adviescommissieweigerendeobservandi.nl,ns0.rijksoverheidnl.com.,185.136.96.82,109,277,
adviescommissieweigerendeobservandi.nl,ns3.rijksoverheidnl.org.,145.100.177.67,109,161,
adviescommissieweigerendeobservandi.nl,ns1.rijksoverheidnl.nl.,178.22.85.27,109,161,
adviescommissieweigerendeobservandi.nl,ns2.rijksoverheidnl.eu.,94.228.142.136,109,161,
adviesraadinternationalevraagstukken.nl,ns1.rijksoverheidnl.nl.,178.22.85.27,110,162,
adviesraadinternationalevraagstukken.nl,ns0.rijksoverheidnl.com.,185.136.96.82,110,278,
adviesraadinternationalevraagstukken.nl,ns3.rijksoverheidnl.org.,145.100.177.67,110,162,
adviesraadinternationalevraagstukken.nl,ns2.rijksoverheidnl.eu.,94.228.142.136,110,162,
adviesraadmigratie.nl,ns1.rijksoverheidnl.nl.,178.22.85.27,92,144,
adviesraadmigratie.nl,ns2.rijksoverheidnl.eu.,94.228.142.136,92,144,
adviesraadmigratie.nl,ns0.rijksoverheidnl.com.,185.136.96.82,92,260,
adviesraadmigratie.nl,ns3.rijksoverheidnl.org.,145.100.177.67,92,144,
advisorycommitteeinternationallaw.nl,ns0.rijksoverheidnl.com.,185.136.96.82,107,275,
advisorycommitteeinternationallaw.nl,ns2.rijksoverheidnl.eu.,94.228.142.136,107,159,
advisorycommitteeinternationallaw.nl,ns3.rijksoverheidnl.org.,145.100.177.67,107,159,
advisorycommitteeinternationallaw.nl,ns1.rijksoverheidnl.nl.,178.22.85.27,107,159,
advisorycouncilinternationalaffairs.nl,ns3.rijksoverheidnl.org.,145.100.177.67,109,161,
advisorycouncilinternationalaffairs.nl,ns0.rijksoverheidnl.com.,185.136.96.82,109,277,
advisorycouncilinternationalaffairs.nl,ns1.rijksoverheidnl.nl.,178.22.85.27,109,161,
advisorycouncilinternationalaffairs.nl,ns2.rijksoverheidnl.eu.,94.228.142.136,109,161,
aerius.nl,ns-396.awsdns-49.com.,205.251.193.140,80,288,
aerius.nl,ns-712.awsdns-25.net.,205.251.194.200,80,288,
aerius.nl,ns-1130.awsdns-13.org.,205.251.196.106,80,288,
aerius.nl,ns-1683.awsdns-18.co.uk.,205.251.198.147,80,288,
afm.nl,ns4.combell.net.,86.39.202.67,77,651,
afm.nl,ns3.combell.net.,83.217.73.172,77,651,
afvalcirculair.nl,ns0.rijksoverheidnl.com.,185.136.96.82,88,256,
afvalcirculair.nl,ns2.rijksoverheidnl.eu.,94.228.142.136,88,140,
afvalcirculair.nl,ns3.rijksoverheidnl.org.,145.100.177.67,88,140,
afvalcirculair.nl,ns1.rijksoverheidnl.nl.,178.22.85.27,88,140,
agendaijsselmeergebied2050.nl,ns3.rijksoverheidnl.org.,145.100.177.67,100,152,
agendaijsselmeergebied2050.nl,ns2.rijksoverheidnl.eu.,94.228.142.136,100,152,
agendaijsselmeergebied2050.nl,ns0.rijksoverheidnl.com.,185.136.96.82,100,268,
agendaijsselmeergebied2050.nl,ns1.rijksoverheidnl.nl.,178.22.85.27,100,152,
agendalaadinfrastructuur.nl,ns2.rijksoverheidnl.eu.,94.228.142.136,98,150,
agendalaadinfrastructuur.nl,ns1.rijksoverheidnl.nl.,178.22.85.27,98,150,
agendalaadinfrastructuur.nl,ns3.rijksoverheidnl.org.,145.100.177.67,98,150,
agendalaadinfrastructuur.nl,ns0.rijksoverheidnl.com.,185.136.96.82,98,266,
agendastad.nl,ns3.rijksoverheidnl.org.,145.100.177.67,84,196,
agendastad.nl,ns0.rijksoverheidnl.com.,185.136.96.82,84,312,
agendastad.nl,ns1.rijksoverheidnl.nl.,178.22.85.27,84,196,
agendastad.nl,ns2.rijksoverheidnl.eu.,94.228.142.136,84,196,
agendavoorhetwaddengebied2050.nl,ns2.rijksoverheidnl.eu.,94.228.142.136,103,181,
agendavoorhetwaddengebied2050.nl,ns0.rijksoverheidnl.com.,185.136.96.82,103,297,
agendavoorhetwaddengebied2050.nl,ns1.rijksoverheidnl.nl.,178.22.85.27,103,181,
agendavoorhetwaddengebied2050.nl,ns3.rijksoverheidnl.org.,145.100.177.67,103,181,
agrimatie.nl,ns2.wur.nl.,137.224.248.142,83,384,
agrimatie.nl,ns1.surfnet.nl.,192.87.106.101,83,107,
agrimatie.nl,ns1.wur.nl.,137.224.248.141,83,384,
agrimatie.nl,ns3.wur.nl.,137.224.248.143,83,384,
agrimatie.nl,ns1.zurich.surf.net.,195.176.255.9,83,135,
agroberichtenbuitenland.nl,ns3.rijksoverheidnl.org.,145.100.177.67,97,149,
agroberichtenbuitenland.nl,ns1.rijksoverheidnl.nl.,178.22.85.27,97,149,
agroberichtenbuitenland.nl,ns2.rijksoverheidnl.eu.,94.228.142.136,97,149,
agroberichtenbuitenland.nl,ns0.rijksoverheidnl.com.,185.136.96.82,97,265,
ahn.nl,ns3.dn-s.nl.,52.51.31.18,77,339,
ahn.nl,ns4.dn-s.nl.,141.255.181.66,77,339,
ahn.nl,ns2.dn-s.nl.,141.138.198.56,77,339,
ahn.nl,ns1.dn-s.nl.,80.84.224.44,77,339,
aivd.nl,ns2.rijksoverheidnl.eu.,94.228.142.136,78,150,
aivd.nl,ns0.rijksoverheidnl.com.,185.136.96.82,78,266,
aivd.nl,ns3.rijksoverheidnl.org.,145.100.177.67,78,150,
aivd.nl,ns1.rijksoverheidnl.nl.,178.22.85.27,78,150,
akkoordverbeteringproductsamenstelling.nl,ns1.w-e-r-k.nl.,5.172.40.100,112,158,
akkoordverbeteringproductsamenstelling.nl,ns1.ssc-campus.nl.,131.224.2.135,112,365,
akkoordverbeteringproductsamenstelling.nl,ns2.ssc-campus.nl.,131.224.2.136,112,365,
akkoordverbeteringproductsamenstelling.nl,ns2.w-e-r-k.nl.,31.200.209.176,112,158,
algemenebestuursdienst.nl,ns1.rijksoverheidnl.nl.,178.22.85.27,96,148,
algemenebestuursdienst.nl,ns2.rijksoverheidnl.eu.,94.228.142.136,96,148,
algemenebestuursdienst.nl,ns0.rijksoverheidnl.com.,185.136.96.82,96,264,
algemenebestuursdienst.nl,ns3.rijksoverheidnl.org.,145.100.177.67,96,148,
algemenerekenkamer.nl,ns1.rijksoverheidnl.nl.,178.22.85.27,92,144,
algemenerekenkamer.nl,ns3.rijksoverheidnl.org.,145.100.177.67,92,144,
algemenerekenkamer.nl,ns0.rijksoverheidnl.com.,185.136.96.82,92,260,
algemenerekenkamer.nl,ns2.rijksoverheidnl.eu.,94.228.142.136,92,144,
alleenjijbepaalt.nl,ns2.rijksoverheidnl.eu.,94.228.142.136,90,244,
alleenjijbepaalt.nl,ns3.rijksoverheidnl.org.,145.100.177.67,90,244,
alleenjijbepaalt.nl,ns0.rijksoverheidnl.com.,185.136.96.82,90,360,
alleenjijbepaalt.nl,ns1.rijksoverheidnl.nl.,178.22.85.27,90,244,
allesisgezondheid.nl,ns2.medusa.nl.,185.150.187.215,91,545,
allesisgezondheid.nl,ns1.medusa.nl.,217.21.242.225,91,414,
allesoversport.nl,ns.internlnet.nl.,31.3.105.132,88,516,
allesoversport.nl,ns3.internl.net.,77.95.248.203,88,516,
allesoversport.nl,ns4.internl.net.,85.119.243.17,88,516,
alliantieopenoverheid.pleio.nl,odcn.pleio.nl.,,101,,
alterra.nl,ns3.wur.nl.,137.224.248.143,81,164,
alterra.nl,ns1.zurich.surf.net.,195.176.255.9,81,164,
alterra.nl,ns1.surfnet.nl.,192.87.106.101,81,136,
alterra.nl,ns2.wur.nl.,137.224.248.142,81,164,
alterra.nl,ns1.wur.nl.,137.224.248.141,81,164,
amberalert.nl,ns1.kpn.net.,194.151.228.10,84,201,
amberalert.nl,ns11.kpn.net.,213.75.63.33,84,201,
amlc.eu,ns2.belastingdienst.nl.,85.159.100.53,78,158,
amlc.eu,ns3.belastingdienst.nl.,85.159.96.53,78,158,
amlc.eu,ns4.belastingdienst.nl.,147.181.112.4,78,158,
amlc.nl,ns3.belastingdienst.nl.,85.159.96.53,78,158,
amlc.nl,ns4.belastingdienst.nl.,147.181.112.4,78,158,
amlc.nl,ns2.belastingdienst.nl.,85.159.100.53,78,158,
animalfreeinnovationtpi.nl,ns3.rijksoverheidnl.org.,145.100.177.67,97,149,
animalfreeinnovationtpi.nl,ns1.rijksoverheidnl.nl.,178.22.85.27,97,149,
animalfreeinnovationtpi.nl,ns2.rijksoverheidnl.eu.,94.228.142.136,97,149,
animalfreeinnovationtpi.nl,ns0.rijksoverheidnl.com.,185.136.96.82,97,265,
annualreport.dopingautoriteit.nl,daws1.dopingautoriteit.nl.,,103,,
antennebureau.nl,ns2.rijksoverheidnl.eu.,94.228.142.136,87,263,
antennebureau.nl,ns0.rijksoverheidnl.com.,185.136.96.82,87,379,
antennebureau.nl,ns3.rijksoverheidnl.org.,145.100.177.67,87,263,
antennebureau.nl,ns1.rijksoverheidnl.nl.,178.22.85.27,87,263,
antenneregister.nl,ns1.dictu.nl.,145.12.216.1,89,173,
antenneregister.nl,ns2.dictu.nl.,145.69.216.1,89,173,
aofondsrijk.nl,ns3.combell.net.,83.217.73.172,85,258,
aofondsrijk.nl,ns4.combell.net.,86.39.202.67,85,258,
aovvt.nl,ns3.combell.net.,83.217.73.172,79,206,
aovvt.nl,ns4.combell.net.,86.39.202.67,79,206,
apps.rijksservices.nl,appstore-portal-prd-frontend.azurefd.net.,,92,,
apps.rijksservices.nl,star-azurefd-prod.trafficmanager.net.,,92,,
apps.rijksservices.nl,shed.dual-low.part-0039.t-0009.fdv2-t-msedge.net.,,92,,
apps.rijksservices.nl,global-entry-afdthirdparty-fallback-first.trafficmanager.net.,,92,,
apps.rijksservices.nl,shed.dual-low.part-0039.t-0009.fb-t-msedge.net.,,92,,
apps.rijksservices.nl,part-0039.t-0009.fb-t-msedge.net.,,92,,
aquo.nl,ns4.eurodns.com.,8.20.243.108,78,107,
aquo.nl,ns3.eurodns.com.,8.20.241.108,78,107,
aquo.nl,ns1.eurodns.com.,8.20.241.107,78,107,
aquo.nl,ns2.eurodns.com.,8.20.243.107,78,107,
arbeidsmarktplatformpo.nl,ns3.combell.net.,83.217.73.172,96,589,
arbeidsmarktplatformpo.nl,ns4.combell.net.,86.39.202.67,96,589,
arbocatalogusmbo.nl,ns4.combell.net.,86.39.202.67,90,135,
arbocatalogusmbo.nl,ns3.combell.net.,83.217.73.172,90,135,
arboportaal.nl,ns3.rijksoverheidnl.org.,145.100.177.67,85,218,
arboportaal.nl,ns0.rijksoverheidnl.com.,185.136.96.82,85,334,
arboportaal.nl,ns2.rijksoverheidnl.eu.,94.228.142.136,85,218,
arboportaal.nl,ns1.rijksoverheidnl.nl.,178.22.85.27,85,218,
arcgis.com,ns-423.awsdns-52.com.,205.251.193.167,81,521,
arcgis.com,ns-1882.awsdns-43.co.uk.,205.251.199.90,81,521,
arcgis.com,ns-1062.awsdns-04.org.,205.251.196.38,81,521,
arcgis.com,ns-982.awsdns-58.net.,205.251.195.214,81,521,
architectenregister.nl,ns3.argewebhosting.nl.,92.63.168.137,93,419,
architectenregister.nl,ns1.argewebhosting.eu.,31.25.98.210,93,419,
architectenregister.nl,ns2.argewebhosting.com.,31.25.98.169,93,419,
arorijk.nl,ns1.rijksoverheidnl.nl.,178.22.85.27,81,175,
arorijk.nl,ns0.rijksoverheidnl.com.,185.136.96.82,81,291,
arorijk.nl,ns2.rijksoverheidnl.eu.,94.228.142.136,81,175,
arorijk.nl,ns3.rijksoverheidnl.org.,145.100.177.67,81,175,
asbestovertredingen.inspectieszw.nl,arbeidsinspectie01.prod.aws.digitpaint.nl.,,106,,
asbestovertredingen.nlarbeidsinspectie.nl,arbeidsinspectie01.prod.aws.digitpaint.nl.,,112,,
atgb.nl,ns2.rijksoverheidnl.eu.,94.228.142.136,78,191,
atgb.nl,ns0.rijksoverheidnl.com.,185.136.96.82,78,307,
atgb.nl,ns1.rijksoverheidnl.nl.,178.22.85.27,78,191,
atgb.nl,ns3.rijksoverheidnl.org.,145.100.177.67,78,191,
atlasinfectieziekten.nl,ns1.ssc-campus.nl.,131.224.2.135,94,347,
atlasinfectieziekten.nl,ns2.ssc-campus.nl.,131.224.2.136,94,347,
atlasinfectieziekten.nl,ns1.w-e-r-k.nl.,5.172.40.100,94,140,
atlasinfectieziekten.nl,ns2.w-e-r-k.nl.,31.200.209.176,94,140,
atlasleefomgeving.nl,ns3.rijksoverheidnl.org.,145.100.177.67,91,143,
atlasleefomgeving.nl,ns1.rijksoverheidnl.nl.,178.22.85.27,91,143,
atlasleefomgeving.nl,ns0.rijksoverheidnl.com.,185.136.96.82,91,259,
atlasleefomgeving.nl,ns2.rijksoverheidnl.eu.,94.228.142.136,91,143,
atlasnatuurlijkkapitaal.nl,ns2.rijksoverheidnl.eu.,94.228.142.136,97,149,
atlasnatuurlijkkapitaal.nl,ns1.rijksoverheidnl.nl.,178.22.85.27,97,149,
atlasnatuurlijkkapitaal.nl,ns3.rijksoverheidnl.org.,145.100.177.67,97,149,
atlasnatuurlijkkapitaal.nl,ns0.rijksoverheidnl.com.,185.136.96.82,97,265,
atlasofmutualheritage.nl,ns2.driebit.nl.,95.211.113.205,95,95,
atlasofmutualheritage.nl,ns1.driebit.nl.,83.98.140.3,95,176,
atr-regeldruk.nl,ns3.firstfind.nl.,5.157.86.222,87,207,
atr-regeldruk.nl,ns5.firstfind.net.,178.128.248.2,87,207,
atr-regeldruk.nl,ns4.firstfind.nl.,5.157.87.222,87,207,
autoriteitnvs.nl,ns1.rijksoverheidnl.nl.,178.22.85.27,87,220,
autoriteitnvs.nl,ns2.rijksoverheidnl.eu.,94.228.142.136,87,220,
autoriteitnvs.nl,ns3.rijksoverheidnl.org.,145.100.177.67,87,220,
autoriteitnvs.nl,ns0.rijksoverheidnl.com.,185.136.96.82,87,336,
autoriteitpersoonsgegevens.nl,ns-5.awsdns-00.com.,205.251.192.5,100,442,
autoriteitpersoonsgegevens.nl,ns-987.awsdns-59.net.,205.251.195.219,100,442,
autoriteitpersoonsgegevens.nl,ns-1338.awsdns-39.org.,205.251.197.58,100,442,
autoriteitpersoonsgegevens.nl,ns-1775.awsdns-29.co.uk.,205.251.198.239,100,442,
avghelpdeskzorg.nl,ns3.rijksoverheidnl.org.,145.100.177.67,89,141,
avghelpdeskzorg.nl,ns2.rijksoverheidnl.eu.,94.228.142.136,89,141,
avghelpdeskzorg.nl,ns1.rijksoverheidnl.nl.,178.22.85.27,89,141,
avghelpdeskzorg.nl,ns0.rijksoverheidnl.com.,185.136.96.82,89,257,
avgregisterrijksoverheid.nl,ns2.dictu.nl.,145.69.216.1,98,182,
avgregisterrijksoverheid.nl,ns1.dictu.nl.,145.12.216.1,98,182,
